source,line,src,type,attributes
ai-visibility.html,433,inline,text/javascript,{}
arc-forge.html,23,inline,text/javascript,{}
arc-forge.html,1084,inline,text/javascript,{}
family-card-chaos-access.html,510,inline,text/javascript,{}
territory-sales-execution.html,9,assets/js/application-view-ping.js?v=20260727-1,text/javascript,"{""data-page-id"": ""territory-sales-execution"", ""data-page-label"": ""Territory sales portfolio"", ""defer"": null, ""src"": ""assets/js/application-view-ping.js?v=20260727-1""}"
visual-ai-evaluation.html,9,assets/js/application-view-ping.js?v=20260727-1,text/javascript,"{""data-page-id"": ""visual-ai-evaluation"", ""data-page-label"": ""Visual AI evaluation portfolio"", ""defer"": null, ""src"": ""assets/js/application-view-ping.js?v=20260727-1""}"
